No.,Time,Source,Destination,Protocol,Length,Info,Label
22,0.150646088,10.244.0.10,10.244.0.8,TCP,66,33974  >  27017 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=1426609629 TSecr=4121570608,0
111,3.68341435,10.244.0.11,10.244.0.8,TCP,66,49870  >  27017 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=1788583876 TSecr=3812406866,0
204,5.306321279,10.244.0.17,10.244.0.8,TCP,66,33038  >  27017 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=600277041 TSecr=1126332011,0
253,7.242271545,10.244.0.11,10.244.0.8,TCP,66,49862  >  27017 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=1788587434 TSecr=3812410424,0
254,7.502489255,10.244.0.10,10.244.0.8,TCP,66,33978  >  27017 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=1426616985 TSecr=4121577965,0
255,7.700747284,10.244.0.10,10.244.0.8,TCP,66,57538  >  27017 [ACK] Seq=1 Ack=1 Win=505 Len=0 TSval=1426617183 TSecr=4121563085,0
256,7.700765839,10.244.0.10,10.244.0.8,TCP,66,38622  >  27017 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=1426617183 TSecr=4121563061,0
257,7.700791999,10.244.0.8,10.244.0.10,TCP,66,[TCP ACKed unseen segment] 27017  >  57538 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=4121578163 TSecr=1426324064,0
258,7.700810474,10.244.0.8,10.244.0.10,TCP,66,[TCP ACKed unseen segment] 27017  >  38622 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=4121578163 TSecr=1426324064,0
260,7.700948097,10.244.0.9,10.244.0.20,TCP,66,[TCP ACKed unseen segment] 8000  >  45268 [ACK] Seq=1 Ack=2 Win=502 Len=0 TSval=2653820509 TSecr=1926364751,0
261,7.700904133,10.244.0.9,10.244.0.20,TCP,66,[TCP Keep-Alive] [TCP ACKed unseen segment] 8000  >  45268 [ACK] Seq=0 Ack=2 Win=502 Len=0 TSval=2653820509 TSecr=1926364751,0
301,9.152940069,10.244.0.17,10.244.0.8,TCP,66,33028  >  27017 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=600280887 TSecr=1126335859,0
342,10.16637767,10.244.0.10,10.244.0.8,TCP,66,33974  >  27017 [ACK] Seq=1 Ack=305 Win=502 Len=0 TSval=1426619645 TSecr=4121580625,0
384,11.540419,10.10.2.1,10.10.2.22,SCTP,108,HEARTBEAT ,0
385,11.544741,10.10.2.22,10.10.2.1,SCTP,108,HEARTBEAT_ACK ,0
439,13.84455319,10.244.0.8,10.244.0.20,TCP,66,[TCP ACKed unseen segment] 27017  >  33848 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=353282313 TSecr=2641096859,0
441,13.84836243,10.244.0.8,10.244.0.20,TCP,66,[TCP ACKed unseen segment] 27017  >  38196 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=353282317 TSecr=2641096864,0
443,13.84942918,10.244.0.8,10.244.0.20,TCP,66,[TCP ACKed unseen segment] 27017  >  33858 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=353282318 TSecr=2641096859,0
602,17.2500854,10.244.0.11,10.244.0.8,TCP,66,49862  >  27017 [ACK] Seq=1 Ack=305 Win=502 Len=0 TSval=1788597438 TSecr=3812420428,0
642,19.16703711,10.244.0.17,10.244.0.8,TCP,66,33028  >  27017 [ACK] Seq=1 Ack=305 Win=502 Len=0 TSval=600290901 TSecr=1126345873,0
684,20.17830981,10.244.0.10,10.244.0.8,TCP,66,33974  >  27017 [ACK] Seq=1 Ack=609 Win=502 Len=0 TSval=1426629661 TSecr=4121590640,0
746,22.8105926,10.244.0.9,10.244.0.20,TCP,66,[TCP Keep-Alive] [TCP ACKed unseen segment] 8000  >  45268 [ACK] Seq=0 Ack=2 Win=502 Len=0 TSval=2653835619 TSecr=1926379853,0
808,24.550513,10.10.4.101,10.10.4.1,PFCP,60,PFCP Heartbeat Request,0
809,24.550938,10.10.4.1,10.10.4.101,PFCP,60,PFCP Heartbeat Response,0
879,25.879148,10.10.2.22,10.10.2.1,SCTP,108,HEARTBEAT ,0
880,25.879168,10.10.2.1,10.10.2.22,SCTP,108,HEARTBEAT_ACK ,0
881,25.87947179,10.244.0.8,10.244.0.10,TCP,66,[TCP Keep-Alive] [TCP ACKed unseen segment] 27017  >  38622 [ACK] Seq=0 Ack=2 Win=501 Len=0 TSval=4121596342 TSecr=1426324064,0
882,25.87947558,10.244.0.8,10.244.0.10,TCP,66,[TCP Keep-Alive] [TCP ACKed unseen segment] 27017  >  57538 [ACK] Seq=0 Ack=2 Win=501 Len=0 TSval=4121596342 TSecr=1426324064,0
926,27.25868569,10.244.0.11,10.244.0.8,TCP,66,49862  >  27017 [ACK] Seq=1 Ack=609 Win=502 Len=0 TSval=1788607451 TSecr=3812430441,0
966,29.1748227,10.244.0.17,10.244.0.8,TCP,66,33028  >  27017 [ACK] Seq=1 Ack=609 Win=502 Len=0 TSval=600300909 TSecr=1126355881,0
1016,30.1899516,10.244.0.10,10.244.0.8,TCP,66,33974  >  27017 [ACK] Seq=1 Ack=913 Win=502 Len=0 TSval=1426639672 TSecr=4121600652,0
1149,34.561585,10.10.4.101,10.10.4.1,PFCP,60,PFCP Heartbeat Request,0
1150,34.570499,10.10.4.1,10.10.4.101,PFCP,60,PFCP Heartbeat Response,0
1291,37.27988518,10.244.0.11,10.244.0.8,TCP,66,49862  >  27017 [ACK] Seq=1 Ack=913 Win=502 Len=0 TSval=1788617471 TSecr=3812440461,0
